Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,
365,12.166667,0.47508,-0.002597,0.031621,,,,,,,,,,,,,,
366,12.2,0.475086,-0.00258,0.031595,,,,,,,,,,,,,,
367,12.233333,0.475067,-0.002602,0.031545,,,,,,,,,,,,,,
368,12.266667,0.475058,-0.002602,0.031535,,,,,,,,,,,,,,
369,12.3,0.475073,-0.002596,0.031532,,,,,,,,,,,,,,
370,12.333333,0.475056,-0.002612,0.031503,,,,,,,,,,,,,,
371,12.366667,0.475046,-0.002612,0.031472,,,,,,,,,,,,,,
372,12.4,0.475044,-0.00261,0.031453,,,,,,,,,,,,,,
373,12.433333,0.475037,-0.002616,0.031424,,,,,,,,,,,,,,
374,12.466667,0.475028,-0.00262,0.031398,,,,,,,,,,,,,,
375,12.5,0.475026,-0.002615,0.031381,,,,,,,,,,,,,,
376,12.533333,0.47502,-0.002623,0.031361,,,,,,,,,,,,,,
377,12.566667,0.475015,-0.002622,0.031342,,,,,,,,,,,,,,
378,12.6,0.475011,-0.002624,0.031329,,,,,,,,,,,,,,
379,12.633333,0.475008,-0.002626,0.031313,,,,,,,,,,,,,,
380,12.666667,0.475005,-0.002624,0.0313,,,,,,,,,,,,,,
381,12.7,0.475002,-0.002629,0.031292,,,,,,,,,,,,,,
382,12.733333,0.474995,-0.002632,0.031275,,,,,,,,,,,,,,
383,12.766667,0.474996,-0.002629,0.031276,,,,,,,,,,,,,,
384,12.8,0.474991,-0.002637,0.031267,,,,,,,,,,,,,,
385,12.833333,0.474982,-0.002647,0.031246,,,,,,,,,,,,,,
386,12.866667,0.47498,-0.002648,0.031246,,,,,,,,,,,,,,
387,12.9,0.474979,-0.002647,0.03124,,,,,,,,,,,,,,
388,12.933333,0.474975,-0.002647,0.031224,,,,,,,,,,,,,,
389,12.966667,0.474974,-0.002651,0.031225,,,,,,,,,,,,,,
390,13,0.474973,-0.002652,0.031215,,,,,,,,,,,,,,
391,13.033333,0.47497,-0.002652,0.031205,,,,,,,,,,,,,,
